Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",100,0.037,648
"MergeSort","random",100,0.1084,538
"StringQuickSort","random",100,0.0091,698
"StringMergeSort","random",100,0.1031,538
"MSDRadixSort","random",100,0.063,165
"MSDRadixSortWithSwitch","random",100,0.0152,147
"QuickSort","random",200,0.0593,1533
"MergeSort","random",200,0.3228,1274
"StringQuickSort","random",200,0.019,1529
"StringMergeSort","random",200,0.2372,1274
"MSDRadixSort","random",200,0.1477,395
"MSDRadixSortWithSwitch","random",200,0.0289,397
"QuickSort","random",300,0.0725,2481
"MergeSort","random",300,0.4017,2080
"StringQuickSort","random",300,0.0281,2376
"StringMergeSort","random",300,0.3698,2080
"MSDRadixSort","random",300,0.2071,612
"MSDRadixSortWithSwitch","random",300,0.0578,683
"QuickSort","random",400,0.1018,3553
"MergeSort","random",400,0.6814,2951
"StringQuickSort","random",400,0.0692,3487
"StringMergeSort","random",400,0.5628,2951
"MSDRadixSort","random",400,0.2719,824
"MSDRadixSortWithSwitch","random",400,0.078,1052
"QuickSort","random",500,0.0825,4763
"MergeSort","random",500,0.5276,3829
"StringQuickSort","random",500,0.0513,4425
"StringMergeSort","random",500,0.6021,3829
"MSDRadixSort","random",500,0.3016,1044
"MSDRadixSortWithSwitch","random",500,0.1094,1451
"QuickSort","random",600,0.0999,5706
"MergeSort","random",600,0.6465,4762
"StringQuickSort","random",600,0.062,5322
"StringMergeSort","random",600,0.784,4762
"MSDRadixSort","random",600,0.3292,1264
"MSDRadixSortWithSwitch","random",600,0.1256,1878
"QuickSort","random",700,0.1207,6716
"MergeSort","random",700,0.774,5723
"StringQuickSort","random",700,0.0764,6835
"StringMergeSort","random",700,0.8853,5723
"MSDRadixSort","random",700,0.3934,1499
"MSDRadixSortWithSwitch","random",700,0.1432,2335
"QuickSort","random",800,0.1401,8057
"MergeSort","random",800,0.8851,6692
"StringQuickSort","random",800,0.0871,7781
"StringMergeSort","random",800,1.0404,6692
"MSDRadixSort","random",800,0.4548,1715
"MSDRadixSortWithSwitch","random",800,0.1683,2829
"QuickSort","random",900,0.1578,9047
"MergeSort","random",900,1.0524,7674
"StringQuickSort","random",900,0.1015,8671
"StringMergeSort","random",900,1.1958,7674
"MSDRadixSort","random",900,0.5368,1943
"MSDRadixSortWithSwitch","random",900,0.1778,3323
"QuickSort","random",1000,0.3901,12237
"MergeSort","random",1000,1.266,8670
"StringQuickSort","random",1000,0.113,9776
"StringMergeSort","random",1000,1.3635,8670
"MSDRadixSort","random",1000,0.6034,2193
"MSDRadixSortWithSwitch","random",1000,0.2134,3912
"QuickSort","random",1100,0.2069,12024
"MergeSort","random",1100,1.347,9732
"StringQuickSort","random",1100,0.1314,11760
"StringMergeSort","random",1100,1.5462,9732
"MSDRadixSort","random",1100,0.6936,2431
"MSDRadixSortWithSwitch","random",1100,0.2248,4423
"QuickSort","random",1200,0.2927,13051
"MergeSort","random",1200,1.466,10760
"StringQuickSort","random",1200,0.1372,11836
"StringMergeSort","random",1200,1.6881,10760
"MSDRadixSort","random",1200,0.718,2652
"MSDRadixSortWithSwitch","random",1200,0.2483,4976
"QuickSort","random",1300,0.268,14677
"MergeSort","random",1300,1.5541,11810
"StringQuickSort","random",1300,0.1526,13435
"StringMergeSort","random",1300,1.8055,11810
"MSDRadixSort","random",1300,0.7547,2875
"MSDRadixSortWithSwitch","random",1300,0.2633,5551
"QuickSort","random",1400,0.2956,17035
"MergeSort","random",1400,1.7002,12883
"StringQuickSort","random",1400,0.1751,15913
"StringMergeSort","random",1400,1.9604,12883
"MSDRadixSort","random",1400,0.8384,3122
"MSDRadixSortWithSwitch","random",1400,0.2893,6113
"QuickSort","random",1500,0.2948,17466
"MergeSort","random",1500,1.804,13942
"StringQuickSort","random",1500,0.1853,16148
"StringMergeSort","random",1500,2.0974,13942
"MSDRadixSort","random",1500,0.8633,3361
"MSDRadixSortWithSwitch","random",1500,0.3072,6753
"QuickSort","random",1600,0.3215,17901
"MergeSort","random",1600,1.9208,15004
