Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","random",100,0.0417,719
"MergeSort","random",100,0.102,544
"StringQuickSort","random",100,0.0086,663
"StringMergeSort","random",100,0.1127,544
"MSDRadixSort","random",100,0.0822,178
"MSDRadixSortWithSwitch","random",100,0.019,155
"QuickSort","random",200,0.0491,1472
"MergeSort","random",200,0.1958,1278
"StringQuickSort","random",200,0.0201,1823
"StringMergeSort","random",200,0.2186,1278
"MSDRadixSort","random",200,0.1622,399
"MSDRadixSortWithSwitch","random",200,0.0278,394
"QuickSort","random",300,0.0455,2502
"MergeSort","random",300,0.3188,2088
"StringQuickSort","random",300,0.0306,2759
"StringMergeSort","random",300,0.3513,2088
"MSDRadixSort","random",300,0.4436,611
"MSDRadixSortWithSwitch","random",300,0.1015,692
"QuickSort","random",400,0.0675,3618
"MergeSort","random",400,0.4194,2955
"StringQuickSort","random",400,0.0434,4042
"StringMergeSort","random",400,0.4617,2955
"MSDRadixSort","random",400,0.2596,824
"MSDRadixSortWithSwitch","random",400,0.0797,1068
"QuickSort","random",500,0.0852,4977
"MergeSort","random",500,0.5231,3846
"StringQuickSort","random",500,0.0599,5581
"StringMergeSort","random",500,0.6105,3846
"MSDRadixSort","random",500,0.2868,1046
"MSDRadixSortWithSwitch","random",500,0.1075,1483
"QuickSort","random",600,0.1052,6181
"MergeSort","random",600,0.6872,4779
"StringQuickSort","random",600,0.1165,5865
"StringMergeSort","random",600,0.9071,4779
"MSDRadixSort","random",600,0.3349,1266
"MSDRadixSortWithSwitch","random",600,0.1288,1933
"QuickSort","random",700,0.1272,7451
"MergeSort","random",700,0.7859,5720
"StringQuickSort","random",700,0.0817,7472
"StringMergeSort","random",700,0.8954,5720
"MSDRadixSort","random",700,0.3835,1487
"MSDRadixSortWithSwitch","random",700,0.1461,2430
"QuickSort","random",800,0.1553,9051
"MergeSort","random",800,0.9222,6701
"StringQuickSort","random",800,0.091,7644
"StringMergeSort","random",800,1.3011,6701
"MSDRadixSort","random",800,0.4354,1722
"MSDRadixSortWithSwitch","random",800,0.1656,2886
"QuickSort","random",900,0.1645,9072
"MergeSort","random",900,1.0222,7664
"StringQuickSort","random",900,0.1006,9098
"StringMergeSort","random",900,1.192,7664
"MSDRadixSort","random",900,0.4969,1944
"MSDRadixSortWithSwitch","random",900,0.1806,3403
"QuickSort","random",1000,0.1826,10870
"MergeSort","random",1000,1.1768,8693
"StringQuickSort","random",1000,0.1109,9753
"StringMergeSort","random",1000,1.3664,8693
"MSDRadixSort","random",1000,0.5787,2182
"MSDRadixSortWithSwitch","random",1000,0.1834,3916
"QuickSort","random",1100,0.2583,13106
"MergeSort","random",1100,1.3357,9731
"StringQuickSort","random",1100,0.1231,10902
"StringMergeSort","random",1100,1.5575,9731
"MSDRadixSort","random",1100,0.69,2405
"MSDRadixSortWithSwitch","random",1100,0.2391,4492
"QuickSort","random",1200,0.3991,13607
"MergeSort","random",1200,1.4834,10764
"StringQuickSort","random",1200,0.1458,13246
"StringMergeSort","random",1200,1.7049,10764
"MSDRadixSort","random",1200,0.6839,2641
"MSDRadixSortWithSwitch","random",1200,0.2378,5012
"QuickSort","random",1300,0.3141,14808
"MergeSort","random",1300,1.5828,11804
"StringQuickSort","random",1300,0.1607,14346
"StringMergeSort","random",1300,1.8329,11804
"MSDRadixSort","random",1300,0.7481,2868
"MSDRadixSortWithSwitch","random",1300,0.2594,5563
"QuickSort","random",1400,0.2855,18068
"MergeSort","random",1400,1.6914,12856
"StringQuickSort","random",1400,0.1689,15513
"StringMergeSort","random",1400,1.9704,12856
"MSDRadixSort","random",1400,0.7919,3102
"MSDRadixSortWithSwitch","random",1400,0.2851,6152
"QuickSort","random",1500,0.2934,18262
"MergeSort","random",1500,1.823,13954
"StringQuickSort","random",1500,0.1917,17350
